time,id,value
2017/10/1 6:02,8305343,1
2017/10/1 6:09,7447252,1
2017/10/1 6:15,5345341,1
2017/10/1 6:36,4659214,1
2017/10/1 6:49,9851565,1
2017/10/1 6:49,3994501,1
2017/10/1 7:00,4909903,1
2017/10/1 7:06,1082216,1
2017/10/1 7:10,8741170,1
2017/10/1 7:15,404091,1
2017/10/1 7:16,66986,1
2017/10/1 7:29,1639344,1
2017/10/1 7:30,2774094,1
2017/10/1 7:45,4334065,1
2017/10/1 7:47,655025,1
2017/10/1 7:49,2387496,1
2017/10/1 7:57,3826371,1
2017/10/1 8:05,7614822,1
2017/10/1 8:11,2387496,1
2017/10/1 8:12,446723,2
2017/10/1 8:25,4891092,1
2017/10/1 8:27,5354939,2
2017/10/1 8:35,1924334,1
2017/10/1 8:39,2895939,1
2017/10/1 8:43,1761988,1
2017/10/1 8:44,7047139,1
2017/10/1 8:49,2578228,1
2017/10/1 8:52,151495,1
2017/10/1 8:52,5145552,1
2017/10/1 8:53,538131,1
2017/10/1 8:54,8510913,1
2017/10/1 8:55,6559338,1
2017/10/1 8:57,3927931,1
2017/10/1 8:58,6061702,1
2017/10/1 9:02,8594764,1
2017/10/1 9:02,9156436,2
2017/10/1 9:04,4738545,1
2017/10/1 9:19,2895939,1
2017/10/1 9:22,525920,1
2017/10/1 9:24,7433584,1
2017/10/1 9:25,4269297,1
2017/10/1 9:30,2387334,1
2017/10/1 9:34,739980,2
2017/10/1 9:34,8379994,2
2017/10/1 9:39,5468474,3
2017/10/1 9:42,8659158,1
2017/10/1 9:42,864804,1
2017/10/1 9:42,8714600,2
2017/10/1 9:46,8805444,1
2017/10/1 9:49,7143321,1
2017/10/1 10:06,9951747,1
2017/10/1 10:07,7168353,1
2017/10/1 10:09,1460026,1
2017/10/1 10:11,7503821,1
2017/10/1 10:15,6061702,1
2017/10/1 10:16,7128529,2
2017/10/1 10:17,9156436,1
2017/10/1 10:18,5260113,1
2017/10/1 10:24,3643684,1
2017/10/1 10:29,4315270,1
2017/10/1 10:33,2643442,1
2017/10/1 10:36,1501597,1
2017/10/1 10:46,3229222,1
2017/10/1 10:50,390299,1
2017/10/1 10:53,6930260,2
2017/10/1 10:54,6418608,1
2017/10/1 11:04,8019937,1
2017/10/1 11:05,467034,1
2017/10/1 11:06,3631293,1
2017/10/1 11:08,4328517,1
2017/10/1 11:11,774588,2
2017/10/1 11:11,1626612,2
2017/10/1 11:12,7549658,1
2017/10/1 11:15,6751432,1
2017/10/1 11:24,8712738,1
2017/10/1 11:26,4316113,1
2017/10/1 11:28,2158302,1
2017/10/1 11:30,7811405,1
2017/10/1 11:33,7769717,1
2017/10/1 11:35,5927921,1
2017/10/1 11:38,3453714,1
2017/10/1 11:40,3729989,1
2017/10/1 11:41,9623876,1
2017/10/1 11:47,1541349,1
2017/10/1 11:56,2055813,2
2017/10/1 11:57,6856055,1
2017/10/1 12:01,4882311,2
2017/10/1 12:02,3409329,1
2017/10/1 12:12,4250221,1
2017/10/1 12:12,5195429,1
2017/10/1 12:15,7861157,1
2017/10/1 12:24,1317883,1
2017/10/1 12:25,9139312,1
2017/10/1 12:25,4468633,1
2017/10/1 12:27,6152993,1
2017/10/1 12:28,3759506,2
2017/10/1 12:34,474622,2
2017/10/1 12:41,2724739,1
2017/10/1 12:49,9195877,1
2017/10/1 12:51,4234402,2
2017/10/1 12:52,6678696,1
2017/10/1 12:57,9054991,1
2017/10/1 13:00,3109586,1
2017/10/1 13:01,8029232,1
2017/10/1 13:06,1289217,1
2017/10/1 13:07,4609040,1
2017/10/1 13:10,6986672,1
2017/10/1 13:16,2480523,2
2017/10/1 13:19,1501597,1
2017/10/1 13:19,8997443,1
2017/10/1 13:29,7549658,1
2017/10/1 13:29,4396107,1
2017/10/1 13:31,67285,1
2017/10/1 13:31,4610476,1
2017/10/1 13:33,7046839,1
2017/10/1 13:34,9000724,1
2017/10/1 13:39,6268968,1
2017/10/1 13:40,4869718,1
2017/10/1 13:49,6856055,1
2017/10/1 13:50,9298745,1
2017/10/1 13:52,4507518,1
2017/10/1 13:53,2219603,1
2017/10/1 13:56,3694121,1
2017/10/1 13:57,966413,1
2017/10/1 14:03,2590768,1
2017/10/1 14:05,4348301,1
2017/10/1 14:08,9013771,1
2017/10/1 14:13,3246799,1
2017/10/1 14:15,5086715,1
2017/10/1 14:20,8305343,1
